company,site,fab,room_label,node,domain,capacity_kind,aggregation_eligible,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2027-Q2,2027-Q3,2027-Q4,2028-Q1,2028-Q2,2028-Q3,2028-Q4,2029-Q1,2029-Q2,2029-Q3,2029-Q4,2030-Q1,2030-Q2,2030-Q3,2030-Q4,2031-Q1,2031-Q2,2031-Q3,2031-Q4,2032-Q1,2032-Q2,2032-Q3,2032-Q4,2033-Q1,2033-Q2,2033-Q3,2033-Q4
Samsung,Pyeongtaek,P1,Phase 2 CR1,1a,dram,production,True,27500,27500,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,24000,12000,3000,0,0,0,0,0,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 2 CR1,1d,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,15000,24000,30000,30000,30000,30000,30000,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 2 CR2,1a,dram,production,True,27500,27500,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,24000,12000,3000,0,0,0,0,0,,,,,,,,,,,,
Samsung,Pyeongtaek,P1,Phase 2 CR2,1d,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,15000,24000,30000,30000,30000,30000,30000,,,,,,,,,,,,
Samsung,Pyeongtaek,P2,S5 Line CR1,SF4/5 mix,logic,production,True,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
Samsung,Pyeongtaek,P2,S5 Line CR2,SF4/5 mix,logic,production,True,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
Samsung,Pyeongtaek,P2,Phase 1 CR1,1a/1c mix; later node shares unresolved,dram,production,True,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,,,,,,,,,,,,
Samsung,Pyeongtaek,P3,Phase 2 CR,1b,dram,production,True,110000,110000,110000,110000,100833,91667,82500,73333,55000,36667,18333,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Samsung,Pyeongtaek,P3,Phase 2 CR,1c initial; later mix unallocated,dram,production,True,0,0,0,0,9167,18333,27500,36667,55000,73333,91667,110000,110000,110000,110000,110000,107500,105000,102500,100000,100000,100000,100000,100000,,,,,,,,,,,,
Samsung,Pyeongtaek,P3,Phase 2 CR,SF2 plan,logic,nameplate,True,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,,,
Samsung,Pyeongtaek,P4,Phase 1 CR,1c initial; later node mix unallocated,dram,production,True,6250.0,7500.0,8750.0,10000.0,30000,35000,40000,40000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
Samsung,Pyeongtaek,P4,Phase 2 CR,1c initial; later node mix unallocated,dram,production,True,0.0,0.0,0.0,0.0,0,5000,10000,20000,25000,35000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
Samsung,Pyeongtaek,P4,Phase 3 CR,1c initial; later node mix unallocated,dram,production,True,6250.0,7500.0,8750.0,10000.0,30000,40000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
Samsung,Pyeongtaek,P4,Phase 4 CR,1c initial; later node mix unallocated,dram,production,True,1250.0,2500.0,3750.0,5000.0,0,5000,15000,30000,35000,40000,45000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
Samsung,Pyeongtaek,P5-I,Phase 2 CR,SF1.4,logic,production,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,7500,15000,21250,25000,25000,25000,,,,,,,,,,,,
Samsung,Pyeongtaek,P5-I,Phase 1 CR,1c / 1d startup mix unresolved,dram,production,True,0,0,0,0,0,0,0,0,0,0,0,5000,15000,30000,42500,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,,,
